2022-10-04T16:53:08.715+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ac77269, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@638d624a, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ecc4be7, org.springframework.security.web.header.HeaderWriterFilter@31b67d61, org.springframework.security.web.authentication.logout.LogoutFilter@3adbd038, com.icheck.backend.filters.JwtRequestFilter@6af5b246, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5357de0e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34e53c02, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7eb774c3, org.springframework.security.web.session.SessionManagementFilter@7c5c2b17, org.springframework.security.web.access.ExceptionTranslationFilter@46b55a0e, org.springframework.security.web.access.intercept.AuthorizationFilter@758d0555]
2022-10-04T16:53:09.002+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Starting ProtocolHandler ["http-nio-8081"]
2022-10-04T16:53:09.016+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat started on port(s): 8081 (http) with context path ''
2022-10-04T16:53:09.032+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Started BackendApplication in 3.462 seconds (JVM running for 4.287)
2022-10-04T16:56:02.757+0700 [http-nio-8081-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-04T16:56:02.757+0700 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - [] - Initializing Servlet 'dispatcherServlet'
2022-10-04T16:56:02.758+0700 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - [] - Completed initialization in 1 ms
2022-10-04T16:57:13.863+0700 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:57:13.865+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown initiated...
2022-10-04T16:57:13.868+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown completed.
2022-10-04T16:57:18.978+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Starting BackendApplication using Java 17.0.1 on DESKTOP-8I9PRAS with PID 14944 (E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System\backend\target\classes started by Ling in E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System)
2022-10-04T16:57:18.983+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - No active profile set, falling back to 1 default profile: "default"
2022-10-04T16:57:19.546+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-10-04T16:57:19.602+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Finished Spring Data repository scanning in 45 ms. Found 2 JPA repository interfaces.
2022-10-04T16:57:20.033+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat initialized with port(s): 8081 (http)
2022-10-04T16:57:20.047+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-04T16:57:20.047+0700 [main] INFO  org.apache.catalina.core.StandardService - [] - Starting service [Tomcat]
2022-10-04T16:57:20.048+0700 [main] INFO  org.apache.catalina.core.StandardEngine - [] - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-04T16:57:20.176+0700 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring embedded WebApplicationContext
2022-10-04T16:57:20.176+0700 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - [] - Root WebApplicationContext: initialization completed in 1153 ms
2022-10-04T16:57:20.358+0700 [main] INFO  org.hibernate.Version - [] - HHH000412: Hibernate ORM core version 5.6.10.Final
2022-10-04T16:57:20.489+0700 [main] INFO  org.hibernate.annotations.common.Version - [] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-10-04T16:57:20.596+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Starting...
2022-10-04T16:57:20.816+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Start completed.
2022-10-04T16:57:20.835+0700 [main] INFO  org.hibernate.dialect.Dialect - [] - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-10-04T16:57:21.337+0700 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - [] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-10-04T16:57:21.345+0700 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:57:21.591+0700 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-10-04T16:57:21.726+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/public/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-04T16:57:21.726+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will not secure Ant [pattern='/public/**']
2022-10-04T16:57:21.727+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/*/v3/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-04T16:57:21.727+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will not secure Ant [pattern='/*/v3/api-docs/**']
2022-10-04T16:57:21.727+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/*/swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
